产品名称,产品代码,预期年化收益率/业绩基准,起购金额,期限
博赢挂钩沪深300（看跌）-非凡资产管理理财18163普通款,FSLA18163A,0.00%,"50,000.00",186
非凡资产管理翠竹26W理财产品周五尊享16款,FSAB26032C,0.00%,"1,000,000.00",182
稳赢系列挂钩利率结构性存款产品18840号（直销银行专属）,FSCA18840A,4.30%,"50,000.00",187
非凡资产管理翠竹26W理财产品周五普通16款,FSAB26032A,0.00%,"50,000.00",182
非凡资产管理翠竹26W理财产品周五高端16款,FSAB26032B,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放9W周五尊享09款,FSAB090527,0.00%,"1,000,000.00",63
非凡资产管理翠竹周期开放9W周五高端09款,FSAB090526,0.00%,"200,000.00",63
非凡资产管理翠竹5W理财产品周一尊享05款,FSAB13009D,0.00%,"1,000,000.00",35
非凡资产管理翠竹5W理财产品周一高端05款,FSAB13009B,0.00%,"200,000.00",35
非凡资产管理翠竹5W理财产品周一普通05款,FSAB13009A,0.00%,"50,000.00",35
非凡资产管理慧赢添利一年定期开放固收类理财产品1号（高净值款）,FSAE25001A,0.00%,"100,000.00",1
非凡资产管理瑞赢3M周四10高端款,FSAE17621B,0.00%,"200,000.00",91
非凡资产管理翠竹1W理财产品周五高端款,FSAB12029B,4.10%,"200,000.00",7
非凡资产管理瑞赢3M周四10普通款,FSAE17621A,0.00%,"50,000.00",91
非凡资产管理瑞赢3M周四01普通款,FSAE17625A,0.00%,"50,000.00",91
非凡资产管理翠竹周期开放9W周五普通07款,FSAB090519,0.00%,"50,000.00",63
非凡资产管理翠竹周期开放9W周五尊享06款,FSAB090518,0.00%,"1,000,000.00",63
非凡资产管理翠竹26W理财产品周二高端18款,FSAB26035B,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放9W周五高端06款,FSAB090517,0.00%,"200,000.00",63
非凡资产管理翠竹26W理财产品周二尊享18款,FSAB26035C,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放9W周五普通06款,FSAB090516,0.00%,"50,000.00",63
非凡资产管理翠竹周期开放9W周五尊享05款,FSAB090515,0.00%,"1,000,000.00",63
非凡资产管理翠竹26W理财产品周二普通18款,FSAB26035A,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放9W周五普通09款,FSAB090525,0.00%,"50,000.00",63
非凡资产管理慧赢添利固收类半年理财产品1号,FSAE06001A,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放9W周五尊享08款,FSAB090524,0.00%,"1,000,000.00",63
非凡资产管理翠竹5W理财产品周四尊享03款,FSAB13006D,0.00%,"1,000,000.00",35
非凡资产管理翠竹周期开放9W周五高端08款,FSAB090523,0.00%,"200,000.00",63
非凡资产管理半年增利第351期普通02款,FSAA18365A,4.85%,"50,000.00",186
非凡资产管理翠竹周期开放9W周五普通08款,FSAB090522,0.00%,"50,000.00",63
非凡资产管理翠竹5W理财产品周四高端03款,FSAB13006B,0.00%,"200,000.00",35
非凡资产管理半年增利第351期高端02款,FSAA18365B,4.90%,"200,000.00",186
非凡资产管理翠竹周期开放9W周五尊享07款,FSAB090521,0.00%,"1,000,000.00",63
非凡资产管理翠竹5W理财产品周四普通03款,FSAB13006A,0.00%,"50,000.00",35
非凡资产管理翠竹周期开放26W周一高端10款,FSAB260129,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放9W周五高端07款,FSAB090520,0.00%,"200,000.00",63
非凡资产管理翠竹周期开放26W周一尊享09款,FSAB260127,0.00%,"1,000,000.00",182
非凡资产管理半年增利第351期（直销银行专属）普通款,FSAA18365E,4.85%,"50,000.00",186
非凡资产管理翠竹周期开放26W周一普通10款,FSAB260128,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放26W周一普通09款,FSAB260125,0.00%,"50,000.00",182
非凡资产管理半年增利第351期（直销银行专属）高端款,FSAA18365G,4.90%,"200,000.00",186
非凡资产管理翠竹周期开放26W周一高端09款,FSAB260126,0.00%,"200,000.00",182
非凡资产管理半年增利第351期（直销银行专属）尊享款,FSAA18365H,4.95%,"1,000,000.00",186
非凡资产管理翠竹周期开放26W周一高端08款,FSAB260123,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放26W周一尊享08款,FSAB260124,0.00%,"1,000,000.00",182
非凡资产管理翠竹1W理财产品周三高端款,FSAB12026B,4.10%,"200,000.00",7
非凡资产管理瑞赢3M周四13高端款,FSAE17624B,0.00%,"200,000.00",91
非凡资产管理瑞赢3M周四03普通款,FSAE17612A,0.00%,"50,000.00",91
非凡资产管理翠竹2W理财产品周四高端02款,FSAB12038B,4.25%,"200,000.00",14
非凡资产管理瑞赢3M周四13普通款,FSAE17624A,0.00%,"50,000.00",91
非凡资产管理翠竹周期开放26W周一普通08款,FSAB260122,0.00%,"50,000.00",182
非凡资产管理瑞赢3M周四03高端款,FSAE17612B,0.00%,"200,000.00",91
非凡资产管理翠竹周期开放9W周五尊享03款,FSAB090509,0.00%,"1,000,000.00",63
非凡资产管理翠竹26W理财产品周五尊享17款,FSAB26034C,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放9W周五高端03款,FSAB090508,0.00%,"200,000.00",63
非凡资产管理翠竹周期开放9W周五普通03款,FSAB090507,0.00%,"50,000.00",63
非凡资产管理翠竹26W理财产品周五普通17款,FSAB26034A,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放9W周五尊享02款,FSAB090506,0.00%,"1,000,000.00",63
非凡资产管理翠竹26W理财产品周五高端17款,FSAB26034B,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放9W周五高端02款,FSAB090505,0.00%,"200,000.00",63
非凡资产管理翠竹周期开放9W周五普通02款,FSAB090504,0.00%,"50,000.00",63
非凡资产管理翠竹周期开放9W周五高端05款,FSAB090514,0.00%,"200,000.00",63
非凡资产管理翠竹周期开放9W周五普通05款,FSAB090513,0.00%,"50,000.00",63
